Color	Position	Sample Name	Gene Name	Cq	Cq Error	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;0;0;255	G5	07-001	TELO	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	G5	SYBR Green I	 	0.04	0.22	None			77
255;0;0;255	G6	07-001	TELO	-	-	-	Negative	Unchecked	Unknown	-	-	-	-	G5	SYBR Green I	 	0.09	0.36	None			78
255;0;0;255	H5	07-002	TELO	16.94	0.66	-	Positive	Unchecked	Unknown	-	17.41	-	-	H5	SYBR Green I	 	2.35	5.64	None			89
255;0;0;255	H6	07-002	TELO	17.87	0.66	-	Positive	Unchecked	Unknown	-	17.41	-	-	H5	SYBR Green I	 	2.44	6.22	None			90
255;0;0;255	E3	07-003	TELO	19.25	1.66	-	Positive	Unchecked	Unknown	-	20.43	-	-	E3	SYBR Green I	 	2.43	6.19	None			51
255;0;0;255	E4	07-003	TELO	21.60	1.66	-	Positive	Unchecked	Unknown	-	20.43	-	-	E3	SYBR Green I	 	2.51	6.17	None			52
255;0;0;255	F3	07-004	TELO	21.94	0.11	-	Positive	Unchecked	Unknown	-	21.87	-	-	F3	SYBR Green I	 	2.49	6.15	None			63
255;0;0;255	F4	07-004	TELO	21.79	0.11	-	Positive	Unchecked	Unknown	-	21.87	-	-	F3	SYBR Green I	 	2.45	6.16	None			64
255;0;0;255	G3	07-005	TELO	20.81	0.01	-	Positive	Unchecked	Unknown	-	20.81	-	-	G3	SYBR Green I	 	2.44	6.07	None			75
255;0;0;255	G4	07-005	TELO	20.80	0.01	-	Positive	Unchecked	Unknown	-	20.81	-	-	G3	SYBR Green I	 	2.54	6.16	None			76
255;0;0;255	H3	07-006	TELO	22.03	0.02	-	Positive	Unchecked	Unknown	-	22.05	-	-	H3	SYBR Green I	 	2.45	6.14	None			87
255;0;0;255	H4	07-006	TELO	22.06	0.02	-	Positive	Unchecked	Unknown	-	22.05	-	-	H3	SYBR Green I	 	2.53	6.17	None			88
255;0;0;255	E7	07-008	TELO	19.94	0.01	-	Positive	Unchecked	Unknown	-	19.95	-	-	E7	SYBR Green I	 	2.61	6.17	None			55
255;0;0;255	E8	07-008	TELO	19.95	0.01	-	Positive	Unchecked	Unknown	-	19.95	-	-	E7	SYBR Green I	 	2.53	6.14	None			56
255;0;0;255	B3	07-009	TELO	21.57	0.02	-	Positive	Unchecked	Unknown	-	21.59	-	-	B3	SYBR Green I	 	2.38	5.98	None			15
255;0;0;255	B4	07-009	TELO	21.60	0.02	-	Positive	Unchecked	Unknown	-	21.59	-	-	B3	SYBR Green I	 	2.46	6.08	None			16
255;0;0;255	F7	07-010	TELO	23.12	0.05	-	Positive	Unchecked	Unknown	-	23.16	-	-	F7	SYBR Green I	 	2.54	6.07	None			67
255;0;0;255	F8	07-010	TELO	23.19	0.05	-	Positive	Unchecked	Unknown	-	23.16	-	-	F7	SYBR Green I	 	2.48	6.06	None			68
255;0;0;255	G7	07-011	TELO	21.64	0.21	-	Positive	Unchecked	Unknown	-	21.79	-	-	G7	SYBR Green I	 	2.54	6.20	None			79
255;0;0;255	G8	07-011	TELO	21.93	0.21	-	Positive	Unchecked	Unknown	-	21.79	-	-	G7	SYBR Green I	 	2.62	6.26	None			80
255;0;0;255	H7	07-014	TELO	22.88	0.38	-	Positive	Unchecked	Unknown	-	22.61	-	-	H7	SYBR Green I	 	2.48	6.08	None			91
255;0;0;255	H8	07-014	TELO	22.34	0.38	-	Positive	Unchecked	Unknown	-	22.61	-	-	H7	SYBR Green I	 	2.57	6.18	None			92
255;0;0;255	C3	07-018	TELO	21.01	0.05	-	Positive	Unchecked	Unknown	-	21.05	-	-	C3	SYBR Green I	 	2.40	6.16	None			27
255;0;0;255	C4	07-018	TELO	21.08	0.05	-	Positive	Unchecked	Unknown	-	21.05	-	-	C3	SYBR Green I	 	2.39	6.17	None			28
255;0;0;255	D3	07-019	TELO	19.94	0.04	-	Positive	Unchecked	Unknown	-	19.97	-	-	D3	SYBR Green I	 	2.51	6.14	None			39
