id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	50846ee6-a1e6-4589-afdf-acd382ff1a7d	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.023986	0.044259	0.192309	0.096	0.096	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	1.443206	0.029452	nan	nan	1.443206	0.029452	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
2	A2	50846ee6-a1e6-4589-afdf-acd382ff1a7d	nac	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye	amplification in negative control;baseline error		0.023963	0.044259	0.192309	0.096	0.096	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	1.443206	0.029452	nan	nan	1.443206	0.029452	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
3	A3	f027f8a2-1ce1-4a59-87c3-618f49cd526f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.417 < 1.7	0.049131	0.044259	0.192309	0.096	0.096	12	19	4	16.5	0.082284	1.417151	0.999945	2.611847e-04	16.9422	16.9422	1.437681	0.063497	2.060067e-04	16.9247	1.440489	0.060992	1.994815e-04	16.9224	1.443206	0.029452	1.933752e-04	16.9202	1.443206	0.029452	1.933752e-04	16.9202	1.437681	0.063497	2.060067e-04	16.9247	1.440489	0.060992	1.994815e-04	16.9224	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	f027f8a2-1ce1-4a59-87c3-618f49cd526f	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.431 < 1.7	0.050635	0.044259	0.192309	0.096	0.096	11	19	4	17.5	0.105738	1.431081	0.999867	1.995751e-04	17.2304	17.2304	1.437681	0.063497	1.841339e-04	17.2339	1.440489	0.060992	1.779540e-04	17.2353	1.443206	0.029452	1.721820e-04	17.2366	1.443206	0.029452	1.721820e-04	17.2366	1.437681	0.063497	1.841339e-04	17.2339	1.440489	0.060992	1.779540e-04	17.2353	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	b52d56d8-ae33-4a68-a491-33a69059ab8a	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.407 < 1.7	0.048982	0.044259	0.192309	0.096	0.096	11	19	4	16.5	0.088719	1.407035	0.999974	3.169466e-04	16.7310	16.7310	1.437681	0.063497	2.221163e-04	16.7173	1.440489	0.060992	2.150808e-04	16.7161	1.443206	0.029452	2.084970e-04	16.7150	1.443206	0.029452	2.084970e-04	16.7150	1.437681	0.063497	2.221163e-04	16.7173	1.440489	0.060992	2.150808e-04	16.7161	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	b52d56d8-ae33-4a68-a491-33a69059ab8a	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.413 < 1.7	0.051795	0.044259	0.192309	0.096	0.096	11	19	4	16.5	0.085357	1.412762	0.999938	2.851671e-04	16.8401	16.8401	1.437681	0.063497	2.137005e-04	16.8237	1.440489	0.060992	2.069316e-04	16.8219	1.443206	0.029452	2.005972e-04	16.8203	1.443206	0.029452	2.005972e-04	16.8203	1.437681	0.063497	2.137005e-04	16.8237	1.440489	0.060992	2.069316e-04	16.8219	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	38991867-0b13-425e-9559-65252334af7e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.383 < 1.7	0.048987	0.044259	0.192309	0.096	0.096	12	21	5	18.0	0.100149	1.383456	0.999803	2.905844e-04	17.8696	17.8696	1.437681	0.063497	1.454516e-04	17.8835	1.440489	0.060992	1.404329e-04	17.8841	1.443206	0.029452	1.357499e-04	17.8847	1.443206	0.029452	1.357499e-04	17.8847	1.437681	0.063497	1.454516e-04	17.8835	1.440489	0.060992	1.404329e-04	17.8841	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	38991867-0b13-425e-9559-65252334af7e	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.384 < 1.7	0.045220	0.044259	0.192309	0.096	0.096	12	20	5	18.0	0.099839	1.383501	0.999616	2.895145e-04	17.8792	17.8792	1.437681	0.063497	1.450011e-04	17.8920	1.440489	0.060992	1.399980e-04	17.8926	1.443206	0.029452	1.353295e-04	17.8931	1.443206	0.029452	1.353295e-04	17.8931	1.437681	0.063497	1.450011e-04	17.8920	1.440489	0.060992	1.399980e-04	17.8926	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	eff840e3-64ea-4f5a-9f7d-134a5bc9dd72	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.053467	0.044259	0.192309	0.096	0.096	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	1.443206	0.029452	nan	nan	1.443206	0.029452	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
10	A10	eff840e3-64ea-4f5a-9f7d-134a5bc9dd72	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.055348	0.044259	0.192309	0.096	0.096	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	1.443206	0.029452	nan	nan	1.443206	0.029452	nan	nan	1.437681	0.063497	nan	nan	1.440489	0.060992	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
