id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	e559a2f8-d93a-493d-9654-20d904591372	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.335 < 1.7	0.080320	0.086896	0.313329	0.1565	0.1565	12	17	4	13.5	0.158324	1.334643	0.999664	3.214535e-03	13.4599	13.4599	1.377546	0.033882	2.097075e-03	13.4638	1.377546	0.033882	2.097075e-03	13.4638	1.371756	0.020659	2.219778e-03	13.4633	1.371756	0.020659	2.219778e-03	13.4633	1.371756	0.020659	2.219778e-03	13.4633	1.371756	0.020659	2.219778e-03	13.4633	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	e559a2f8-d93a-493d-9654-20d904591372	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.333 < 1.7	0.084375	0.086896	0.313329	0.1565	0.1565	12	17	4	13.5	0.169350	1.332805	0.999633	3.502971e-03	13.2253	13.2253	1.377546	0.033882	2.243121e-03	13.2536	1.377546	0.033882	2.243121e-03	13.2536	1.371756	0.020659	2.374369e-03	13.2504	1.371756	0.020659	2.374369e-03	13.2504	1.371756	0.020659	2.374369e-03	13.2504	1.371756	0.020659	2.374369e-03	13.2504	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	4de460ed-c068-4bd6-9fdf-9ec7d2c8eb18	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.387 < 1.7	0.088542	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.145854	1.387454	0.999699	1.263998e-03	14.7151	14.7151	1.377546	0.033882	1.402423e-03	14.7200	1.377546	0.033882	1.402423e-03	14.7200	1.371756	0.020659	1.490747e-03	14.7229	1.371756	0.020659	1.490747e-03	14.7229	1.371756	0.020659	1.490747e-03	14.7229	1.371756	0.020659	1.490747e-03	14.7229	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	4de460ed-c068-4bd6-9fdf-9ec7d2c8eb18	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.384 < 1.7	0.089922	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.155047	1.383535	0.999695	1.399929e-03	14.5287	14.5287	1.377546	0.033882	1.490820e-03	14.5291	1.377546	0.033882	1.490820e-03	14.5291	1.371756	0.020659	1.584711e-03	14.5295	1.371756	0.020659	1.584711e-03	14.5295	1.371756	0.020659	1.584711e-03	14.5295	1.371756	0.020659	1.584711e-03	14.5295	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	94711953-15aa-4cb4-9504-be1596495512	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.374 < 1.7	0.091207	0.086896	0.313329	0.1565	0.1565	12	18	4	15.5	0.162362	1.373822	0.999581	1.181852e-03	15.3842	15.3842	1.377546	0.033882	1.133284e-03	15.3852	1.377546	0.033882	1.133284e-03	15.3852	1.371756	0.020659	1.209742e-03	15.3837	1.371756	0.020659	1.209742e-03	15.3837	1.371756	0.020659	1.209742e-03	15.3837	1.371756	0.020659	1.209742e-03	15.3837	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	94711953-15aa-4cb4-9504-be1596495512	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.365 < 1.7	0.089580	0.086896	0.313329	0.1565	0.1565	12	19	4	15.5	0.153883	1.364893	0.999728	1.239261e-03	15.5542	15.5542	1.377546	0.033882	1.074103e-03	15.5526	1.377546	0.033882	1.074103e-03	15.5526	1.371756	0.020659	1.146569e-03	15.5534	1.371756	0.020659	1.146569e-03	15.5534	1.371756	0.020659	1.146569e-03	15.5534	1.371756	0.020659	1.146569e-03	15.5534	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	7c3283e9-2435-4de0-8646-0281e1af972c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.336 < 1.7	0.088385	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.183376	1.336100	0.999548	2.745855e-03	13.9530	13.9530	1.377546	0.033882	1.763209e-03	14.0052	1.377546	0.033882	1.763209e-03	14.0052	1.371756	0.020659	1.874255e-03	13.9986	1.371756	0.020659	1.874255e-03	13.9986	1.371756	0.020659	1.874255e-03	13.9986	1.371756	0.020659	1.874255e-03	13.9986	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	7c3283e9-2435-4de0-8646-0281e1af972c	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.332 < 1.7	0.081357	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.171763	1.332291	0.999659	2.680658e-03	14.1756	14.1756	1.377546	0.033882	1.651551e-03	14.2095	1.377546	0.033882	1.651551e-03	14.2095	1.371756	0.020659	1.755565e-03	14.2056	1.371756	0.020659	1.755565e-03	14.2056	1.371756	0.020659	1.755565e-03	14.2056	1.371756	0.020659	1.755565e-03	14.2056	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	ee95b9b3-19e1-4487-87d4-541ddbbae9fe	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.352 < 1.7	0.079611	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.158512	1.352090	0.999394	1.997472e-03	14.4576	14.4576	1.377546	0.033882	1.524137e-03	14.4601	1.377546	0.033882	1.524137e-03	14.4601	1.371756	0.020659	1.620126e-03	14.4596	1.371756	0.020659	1.620126e-03	14.4596	1.371756	0.020659	1.620126e-03	14.4596	1.371756	0.020659	1.620126e-03	14.4596	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	ee95b9b3-19e1-4487-87d4-541ddbbae9fe	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.348 < 1.7	0.082466	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.155814	1.347806	0.999421	2.055943e-03	14.5147	14.5147	1.377546	0.033882	1.498196e-03	14.5137	1.377546	0.033882	1.498196e-03	14.5137	1.371756	0.020659	1.592551e-03	14.5139	1.371756	0.020659	1.592551e-03	14.5139	1.371756	0.020659	1.592551e-03	14.5139	1.371756	0.020659	1.592551e-03	14.5139	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
11	A11	68090af2-5be7-422d-86fe-a40021dd6cd2	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.364 < 1.7	0.074558	0.086896	0.313329	0.1565	0.1565	12	18	4	16.5	0.189310	1.363846	0.999349	1.131217e-03	15.8866	15.8866	1.377546	0.033882	9.592306e-04	15.9058	1.377546	0.033882	9.592306e-04	15.9058	1.371756	0.020659	1.028268e-03	15.8979	1.371756	0.020659	1.028268e-03	15.8979	1.371756	0.020659	1.028268e-03	15.8979	1.371756	0.020659	1.028268e-03	15.8979	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
12	A12	68090af2-5be7-422d-86fe-a40021dd6cd2	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.390 < 1.7	0.081696	0.086896	0.313329	0.1565	0.1565	12	17	3	16.0	0.171586	1.390256	0.999856	8.809839e-04	15.7207	15.7207	1.377546	0.033882	1.020433e-03	15.7127	1.377546	0.033882	1.020433e-03	15.7127	1.371756	0.020659	1.091574e-03	15.7089	1.371756	0.020659	1.091574e-03	15.7089	1.371756	0.020659	1.091574e-03	15.7089	1.371756	0.020659	1.091574e-03	15.7089	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
13	B1	37d54a11-1e88-4be8-87f5-6e9640f93895	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.371 < 1.7	0.083224	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.178822	1.371447	0.999468	1.833696e-03	14.0779	14.0779	1.377546	0.033882	1.719424e-03	14.0837	1.377546	0.033882	1.719424e-03	14.0837	1.371756	0.020659	1.827712e-03	14.0782	1.371756	0.020659	1.827712e-03	14.0782	1.371756	0.020659	1.827712e-03	14.0782	1.371756	0.020659	1.827712e-03	14.0782	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
14	B2	37d54a11-1e88-4be8-87f5-6e9640f93895	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.364 < 1.7	0.086388	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.176011	1.363897	0.999548	1.955265e-03	14.1214	14.1214	1.377546	0.033882	1.692394e-03	14.1332	1.377546	0.033882	1.692394e-03	14.1332	1.371756	0.020659	1.798980e-03	14.1283	1.371756	0.020659	1.798980e-03	14.1283	1.371756	0.020659	1.798980e-03	14.1283	1.371756	0.020659	1.798980e-03	14.1283	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
15	B3	00bfc70b-cedc-4cc4-838c-2ed5526abaed	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.330 < 1.7	0.083736	0.086896	0.313329	0.1565	0.1565	12	17	5	15.0	0.173769	1.329927	0.998884	2.413004e-03	14.6329	14.6329	1.377546	0.033882	1.423581e-03	14.6732	1.377546	0.033882	1.423581e-03	14.6732	1.371756	0.020659	1.516427e-03	14.6689	1.371756	0.020659	1.516427e-03	14.6689	1.371756	0.020659	1.516427e-03	14.6689	1.371756	0.020659	1.516427e-03	14.6689	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
16	B4	00bfc70b-cedc-4cc4-838c-2ed5526abaed	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.350 < 1.7	0.092195	0.086896	0.313329	0.1565	0.1565	12	18	4	14.5	0.168312	1.350382	0.999685	2.160213e-03	14.2578	14.2578	1.377546	0.033882	1.618368e-03	14.2728	1.377546	0.033882	1.618368e-03	14.2728	1.371756	0.020659	1.720292e-03	14.2698	1.371756	0.020659	1.720292e-03	14.2698	1.371756	0.020659	1.720292e-03	14.2698	1.371756	0.020659	1.720292e-03	14.2698	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
17	B5	edc5a968-2810-480f-b615-58b768fd64f4	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.353 < 1.7	0.090868	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.175452	1.352651	0.999298	2.197685e-03	14.1216	14.1216	1.377546	0.033882	1.687018e-03	14.1431	1.377546	0.033882	1.687018e-03	14.1431	1.371756	0.020659	1.793266e-03	14.1384	1.371756	0.020659	1.793266e-03	14.1384	1.371756	0.020659	1.793266e-03	14.1384	1.371756	0.020659	1.793266e-03	14.1384	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
18	B6	edc5a968-2810-480f-b615-58b768fd64f4	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.352 < 1.7	0.088437	0.086896	0.313329	0.1565	0.1565	12	17	4	14.5	0.165546	1.351638	0.999511	2.096257e-03	14.3135	14.3135	1.377546	0.033882	1.591774e-03	14.3246	1.377546	0.033882	1.591774e-03	14.3246	1.371756	0.020659	1.692023e-03	14.3222	1.371756	0.020659	1.692023e-03	14.3222	1.371756	0.020659	1.692023e-03	14.3222	1.371756	0.020659	1.692023e-03	14.3222	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
19	B7	ae047c61-0679-4581-bc57-a2daeb9c7d99	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.382 < 1.7	0.091958	0.086896	0.313329	0.1565	0.1565	12	15	4	12.5	0.159939	1.381554	0.999226	2.814197e-03	12.4327	12.4327	1.377546	0.033882	2.918290e-03	12.4321	1.377546	0.033882	2.918290e-03	12.4321	1.371756	0.020659	3.076059e-03	12.4312	1.371756	0.020659	3.076059e-03	12.4312	1.371756	0.020659	3.076059e-03	12.4312	1.371756	0.020659	3.076059e-03	12.4312	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
