id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	b543729b-7767-46ed-9346-60aa570eb362	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.046615	0.002735	0.028314	0.013999999999999999	0.014	9	24	4	22.5	0.010761	1.788547	0.999314	2.241708e-08	22.9526	22.9526	1.794922	0.054983	2.069243e-08	22.9499	1.794922	0.054983	2.069243e-08	22.9499	1.802587	0.023305	1.880048e-08	22.9466	1.802587	0.023305	1.880048e-08	22.9466	1.797435	0.049885	2.005108e-08	22.9488	1.797435	0.049885	2.005108e-08	22.9488	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	b543729b-7767-46ed-9346-60aa570eb362	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.049136	0.002735	0.028314	0.013999999999999999	0.014	9	24	4	21.5	0.006609	1.769503	0.999249	3.099927e-08	22.8152	22.8152	1.794922	0.054983	2.281264e-08	22.7831	1.794922	0.054983	2.281264e-08	22.7831	1.802587	0.023305	2.081535e-08	22.7738	1.802587	0.023305	2.081535e-08	22.7738	1.797435	0.049885	2.213652e-08	22.7801	1.797435	0.049885	2.213652e-08	22.7801	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	e1ce2105-2870-46bc-8ab1-17be9d90be78	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.043536	0.002735	0.028314	0.013999999999999999	0.014	12	25	4	22.5	0.007152	1.771018	0.999630	1.859481e-08	23.6752	23.6752	1.794922	0.054983	1.375263e-08	23.6483	1.794922	0.054983	1.375263e-08	23.6483	1.802587	0.023305	1.249520e-08	23.6400	1.802587	0.023305	1.249520e-08	23.6400	1.797435	0.049885	1.332638e-08	23.6455	1.797435	0.049885	1.332638e-08	23.6455	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	e1ce2105-2870-46bc-8ab1-17be9d90be78	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.046057	0.002735	0.028314	0.013999999999999999	0.014	9	25	4	22.5	0.007329	1.815426	0.999966	1.091440e-08	23.5854	23.5854	1.794922	0.054983	1.409272e-08	23.6065	1.794922	0.054983	1.409272e-08	23.6065	1.802587	0.023305	1.280419e-08	23.5985	1.802587	0.023305	1.280419e-08	23.5985	1.797435	0.049885	1.365592e-08	23.6039	1.797435	0.049885	1.365592e-08	23.6039	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	b55a3bc8-db64-4a90-9892-7bc261008d32	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.661 < 1.7	0.053136	0.002735	0.028314	0.013999999999999999	0.014	11	23	5	21.0	0.008372	1.660900	0.997695	1.975130e-07	22.0135	22.0135	1.794922	0.054983	3.871243e-08	21.8791	1.794922	0.054983	3.871243e-08	21.8791	1.802587	0.023305	3.539843e-08	21.8727	1.802587	0.023305	3.539843e-08	21.8727	1.797435	0.049885	3.759138e-08	21.8770	1.797435	0.049885	3.759138e-08	21.8770	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
6	A6	b55a3bc8-db64-4a90-9892-7bc261008d32	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.685 < 1.7	0.054358	0.002735	0.028314	0.013999999999999999	0.014	10	23	5	21.0	0.008110	1.684891	0.998631	1.415791e-07	22.0466	22.0466	1.794922	0.054983	3.750163e-08	21.9334	1.794922	0.054983	3.750163e-08	21.9334	1.802587	0.023305	3.429128e-08	21.9266	1.802587	0.023305	3.429128e-08	21.9266	1.797435	0.049885	3.641564e-08	21.9312	1.797435	0.049885	3.641564e-08	21.9312	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	9b9f639f-02bf-4727-bc78-57aa41f28adf	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.047862	0.002735	0.028314	0.013999999999999999	0.014	8	24	4	22.5	0.009367	1.790070	0.999297	1.914349e-08	23.1902	23.1902	1.794922	0.054983	1.801241e-08	23.1870	1.794922	0.054983	1.801241e-08	23.1870	1.802587	0.023305	1.636550e-08	23.1820	1.802587	0.023305	1.636550e-08	23.1820	1.797435	0.049885	1.745412e-08	23.1854	1.797435	0.049885	1.745412e-08	23.1854	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	9b9f639f-02bf-4727-bc78-57aa41f28adf	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.044238	0.002735	0.028314	0.013999999999999999	0.014	8	24	4	22.5	0.008558	1.857678	0.999034	7.594791e-09	23.2948	23.2948	1.794922	0.054983	1.645607e-08	23.3415	1.794922	0.054983	1.645607e-08	23.3415	1.802587	0.023305	1.495145e-08	23.3354	1.802587	0.023305	1.495145e-08	23.3354	1.797435	0.049885	1.594602e-08	23.3395	1.797435	0.049885	1.594602e-08	23.3395	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	ca7c70a5-dde4-4550-a5e7-ee6cba191cb6	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042840	0.002735	0.028314	0.013999999999999999	0.014	9	24	4	22.5	0.008897	1.801305	0.999874	1.579507e-08	23.2704	23.2704	1.794922	0.054983	1.710841e-08	23.2750	1.794922	0.054983	1.710841e-08	23.2750	1.802587	0.023305	1.554415e-08	23.2694	1.802587	0.023305	1.554415e-08	23.2694	1.797435	0.049885	1.657814e-08	23.2732	1.797435	0.049885	1.657814e-08	23.2732	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	ca7c70a5-dde4-4550-a5e7-ee6cba191cb6	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.043498	0.002735	0.028314	0.013999999999999999	0.014	8	24	4	22.5	0.008409	1.857245	0.999985	7.502188e-09	23.3234	23.3234	1.794922	0.054983	1.617034e-08	23.3714	1.794922	0.054983	1.617034e-08	23.3714	1.802587	0.023305	1.469185e-08	23.3651	1.802587	0.023305	1.469185e-08	23.3651	1.797435	0.049885	1.566914e-08	23.3694	1.797435	0.049885	1.566914e-08	23.3694	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
