id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	a1f8ef73-1dd9-49f9-b671-8d133130d2bc	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.659 < 1.7	0.036832	0.010162	0.084918	0.0425	0.0425	11	19	4	16.5	0.032741	1.659261	0.999920	7.700069e-06	17.0152	17.0152	1.702575	0.047957	5.033073e-06	16.9903	1.700279	0.046700	5.146398e-06	16.9915	1.702402	0.026212	5.041524e-06	16.9904	1.702402	0.026212	5.041524e-06	16.9904	1.702575	0.047957	5.033073e-06	16.9903	1.700279	0.046700	5.146398e-06	16.9915	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	a1f8ef73-1dd9-49f9-b671-8d133130d2bc	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.669 < 1.7	0.037686	0.010162	0.084918	0.0425	0.0425	12	20	4	16.5	0.024877	1.668959	0.999865	5.314215e-06	17.5456	17.5456	1.702575	0.047957	3.824204e-06	17.5064	1.700279	0.046700	3.910310e-06	17.5090	1.702402	0.026212	3.830625e-06	17.5066	1.702402	0.026212	3.830625e-06	17.5066	1.702575	0.047957	3.824204e-06	17.5064	1.700279	0.046700	3.910310e-06	17.5090	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	20032c75-18a1-4264-b12e-ca12ff1fb78d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.672 < 1.7	0.061673	0.010162	0.084918	0.0425	0.0425	9	19	5	19.0	0.030950	1.671696	0.998819	1.781017e-06	19.6172	19.6172	1.702575	0.047957	1.257883e-06	19.5960	1.700279	0.046700	1.290552e-06	19.5975	1.702402	0.026212	1.260316e-06	19.5961	1.702402	0.026212	1.260316e-06	19.5961	1.702575	0.047957	1.257883e-06	19.5960	1.700279	0.046700	1.290552e-06	19.5975	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	20032c75-18a1-4264-b12e-ca12ff1fb78d	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye			0.061829	0.010162	0.084918	0.0425	0.0425	12	18	4	16.5	0.024477	1.706994	0.999939	3.605175e-06	17.5319	17.5319	1.702575	0.047957	3.762725e-06	17.5369	1.700279	0.046700	3.847446e-06	17.5395	1.702402	0.026212	3.769043e-06	17.5371	1.702402	0.026212	3.769043e-06	17.5371	1.702575	0.047957	3.762725e-06	17.5369	1.700279	0.046700	3.847446e-06	17.5395	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	6ec86e74-c099-4705-9559-fcfbb55d1115	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		no amplification;no plateau;only 0 values in log phase	0.054357	0.010162	0.084918	0.0425	0.0425	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.702575	0.047957	nan	nan	1.700279	0.046700	nan	nan	1.702402	0.026212	nan	nan	1.702402	0.026212	nan	nan	1.702575	0.047957	nan	nan	1.700279	0.046700	nan	nan	No	No	No	No	No	Yes	Yes	No	No	No	No	No	No	No
6	A6	6ec86e74-c099-4705-9559-fcfbb55d1115	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		baseline error;instable baseline;no plateau;only 2 values in log phase	0.057635	0.010162	0.084918	0.0425	0.0425	2	35	0	nan	nan	nan	nan	nan	nan	nan	1.702575	0.047957	nan	nan	1.700279	0.046700	nan	nan	1.702402	0.026212	nan	nan	1.702402	0.026212	nan	nan	1.702575	0.047957	nan	nan	1.700279	0.046700	nan	nan	Yes	Yes	Yes	No	No	Yes	Yes	No	No	Yes	Yes	No	No	No
7	A7	9301e03f-282e-4a20-9a27-39b5748e0a97	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		Cq < 10;N0 unreliable	0.068194	0.010162	0.084918	0.0425	0.0425	9	10	4	7.5	0.027581	1.757137	0.999982	4.023206e-04	8.2670	8.2670	1.702575	0.047957	5.097032e-04	8.3125	1.700279	0.046700	5.148882e-04	8.3146	1.702402	0.026212	5.100921e-04	8.3127	1.702402	0.026212	5.100921e-04	8.3127	1.702575	0.047957	5.097032e-04	8.3125	1.700279	0.046700	5.148882e-04	8.3146	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
8	A8	9301e03f-282e-4a20-9a27-39b5748e0a97	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		Cq < 10;N0 unreliable	0.063605	0.010162	0.084918	0.0425	0.0425	9	10	4	7.5	0.026815	1.758036	0.999880	3.896505e-04	8.3163	8.3163	1.702575	0.047957	4.955493e-04	8.3654	1.700279	0.046700	5.005902e-04	8.3676	1.702402	0.026212	4.959273e-04	8.3656	1.702402	0.026212	4.959273e-04	8.3656	1.702575	0.047957	4.955493e-04	8.3654	1.700279	0.046700	5.005902e-04	8.3676	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
9	A9	079f522b-7615-4bf6-b9bc-9123d92615cb	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		Cq < 10;N0 unreliable;indiv PCR eff is 1.668 < 1.7	0.047255	0.010162	0.084918	0.0425	0.0425	9	10	4	7.5	0.028574	1.668149	0.999978	6.154653e-04	8.2759	8.2759	1.702575	0.047957	5.280424e-04	8.2461	1.700279	0.046700	5.334138e-04	8.2480	1.702402	0.026212	5.284452e-04	8.2462	1.702402	0.026212	5.284452e-04	8.2462	1.702575	0.047957	5.280424e-04	8.2461	1.700279	0.046700	5.334138e-04	8.2480	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	079f522b-7615-4bf6-b9bc-9123d92615cb	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		Cq < 10;N0 unreliable;indiv PCR eff is 1.677 < 1.7	0.049288	0.010162	0.084918	0.0425	0.0425	9	10	4	7.5	0.029557	1.677072	0.999896	6.116764e-04	8.2024	8.2024	1.702575	0.047957	5.462147e-04	8.1825	1.700279	0.046700	5.517710e-04	8.1842	1.702402	0.026212	5.466314e-04	8.1826	1.702402	0.026212	5.466314e-04	8.1826	1.702575	0.047957	5.462147e-04	8.1825	1.700279	0.046700	5.517710e-04	8.1842	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
