id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	006e45c8-716c-40ed-bb15-962df6e83cc0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.066549	0.003133	0.034119	0.016999999999999998	0.017	7	24	4	21.5	0.011256	1.837131	0.999838	2.356953e-08	22.1780	22.1780	1.811611	0.074541	3.183969e-08	22.1939	1.816575	0.058532	3.002037e-08	22.1908	1.821329	0.024921	2.838023e-08	22.1878	1.821329	0.024921	2.838023e-08	22.1878	1.816575	0.058532	3.002037e-08	22.1908	1.816575	0.058532	3.002037e-08	22.1908	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	006e45c8-716c-40ed-bb15-962df6e83cc0	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.676 < 1.7	0.065861	0.003133	0.034119	0.016999999999999998	0.017	9	23	5	21.0	0.010210	1.675583	0.995344	2.002408e-07	21.9877	21.9877	1.811611	0.074541	3.887511e-08	21.8580	1.816575	0.058532	3.670397e-08	21.8540	1.821329	0.024921	3.474404e-08	21.8503	1.821329	0.024921	3.474404e-08	21.8503	1.816575	0.058532	3.670397e-08	21.8540	1.816575	0.058532	3.670397e-08	21.8540	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
3	A3	62c04ea0-3316-460d-ba2d-37aaa35fb54c	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		baseline error;no plateau;only 0 values in log phase	0.119315	0.003133	0.034119	0.016999999999999998	0.017	0	35	0	nan	nan	nan	nan	nan	nan	nan	1.811611	0.074541	nan	nan	1.816575	0.058532	nan	nan	1.821329	0.024921	nan	nan	1.821329	0.024921	nan	nan	1.816575	0.058532	nan	nan	1.816575	0.058532	nan	nan	Yes	Yes	No	No	No	Yes	Yes	No	No	Yes	No	No	No	No
4	A4	62c04ea0-3316-460d-ba2d-37aaa35fb54c	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.061796	0.003133	0.034119	0.016999999999999998	0.017	8	24	5	22.0	0.010556	1.768332	0.998790	3.776427e-08	22.8360	22.8360	1.811611	0.074541	2.218474e-08	22.8020	1.816575	0.058532	2.088850e-08	22.7983	1.821329	0.024921	1.972149e-08	22.7948	1.821329	0.024921	1.972149e-08	22.7948	1.816575	0.058532	2.088850e-08	22.7983	1.816575	0.058532	2.088850e-08	22.7983	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
5	A5	166b5daa-9b34-42e2-99e2-84530d9cff32	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.058045	0.003133	0.034119	0.016999999999999998	0.017	9	23	4	21.5	0.011014	1.839300	0.999447	2.248535e-08	22.2123	22.2123	1.811611	0.074541	3.115525e-08	22.2305	1.816575	0.058532	2.937504e-08	22.2272	1.821329	0.024921	2.777016e-08	22.2240	1.821329	0.024921	2.777016e-08	22.2240	1.816575	0.058532	2.937504e-08	22.2272	1.816575	0.058532	2.937504e-08	22.2272	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	166b5daa-9b34-42e2-99e2-84530d9cff32	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.061788	0.003133	0.034119	0.016999999999999998	0.017	8	23	4	21.5	0.011214	1.853481	0.999427	1.940879e-08	22.1743	22.1743	1.811611	0.074541	3.172102e-08	22.2002	1.816575	0.058532	2.990848e-08	22.1970	1.821329	0.024921	2.827446e-08	22.1940	1.821329	0.024921	2.827446e-08	22.1940	1.816575	0.058532	2.990848e-08	22.1970	1.816575	0.058532	2.990848e-08	22.1970	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	c40d7293-f697-445b-b3fc-b81519c4c850	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.056887	0.003133	0.034119	0.016999999999999998	0.017	9	23	4	21.5	0.011148	1.799676	0.999588	3.635240e-08	22.2180	22.2180	1.811611	0.074541	3.153667e-08	22.2100	1.816575	0.058532	2.973466e-08	22.2068	1.821329	0.024921	2.811013e-08	22.2037	1.821329	0.024921	2.811013e-08	22.2037	1.816575	0.058532	2.973466e-08	22.2068	1.816575	0.058532	2.973466e-08	22.2068	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	c40d7293-f697-445b-b3fc-b81519c4c850	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.060471	0.003133	0.034119	0.016999999999999998	0.017	8	23	4	21.5	0.011318	1.787178	0.997075	4.286910e-08	22.2007	22.2007	1.811611	0.074541	3.201511e-08	22.1847	1.816575	0.058532	3.018576e-08	22.1816	1.821329	0.024921	2.853659e-08	22.1786	1.821329	0.024921	2.853659e-08	22.1786	1.816575	0.058532	3.018576e-08	22.1816	1.816575	0.058532	3.018576e-08	22.1816	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	c95044f2-a016-4625-8c08-628d46badb68	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.684 < 1.7	0.064947	0.003133	0.034119	0.016999999999999998	0.017	9	23	5	21.0	0.010036	1.683739	0.998304	1.777465e-07	22.0115	22.0115	1.811611	0.074541	3.821250e-08	21.8869	1.816575	0.058532	3.607836e-08	21.8828	1.821329	0.024921	3.415185e-08	21.8790	1.821329	0.024921	3.415185e-08	21.8790	1.816575	0.058532	3.607836e-08	21.8828	1.816575	0.058532	3.607836e-08	21.8828	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
10	A10	c95044f2-a016-4625-8c08-628d46badb68	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.065900	0.003133	0.034119	0.016999999999999998	0.017	6	23	4	21.5	0.011161	1.854942	0.999995	1.899345e-08	22.1810	22.1810	1.811611	0.074541	3.157252e-08	22.2081	1.816575	0.058532	2.976846e-08	22.2049	1.821329	0.024921	2.814208e-08	22.2018	1.821329	0.024921	2.814208e-08	22.2018	1.816575	0.058532	2.976846e-08	22.2049	1.816575	0.058532	2.976846e-08	22.2049	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
