id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	32a75861-fceb-49a3-8d2a-7d3fd48879f2	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.686 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.173	0.165398	0.002360	0.027797	0.013999999999999999	0.014	8	23	5	21.0	0.009484	1.686131	0.993693	1.630261e-07	21.7455	21.7455	1.849003	0.059290	2.351167e-08	21.6337	1.852198	0.062506	2.267436e-08	21.6319	1.854565	0.024889	2.207431e-08	21.6306	1.859892	0.025274	2.078408e-08	21.6277	1.852401	0.049797	2.262242e-08	21.6318	1.858799	0.047186	2.104216e-08	21.6283	Yes	No	No	Yes	No	Yes	Yes	No	Yes	No	No	No	No	Yes
2	A2	32a75861-fceb-49a3-8d2a-7d3fd48879f2	std	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye		indiv PCR eff is 1.536 < 1.7;PCR efficiency outlier;indiv PCR eff is lower than mean PCR eff by 0.322	0.178393	0.002360	0.027797	0.013999999999999999	0.014	10	23	5	20.0	0.007003	1.536403	0.996415	1.303743e-06	21.6130	21.6130	1.849003	0.059290	3.210283e-08	21.1270	1.852198	0.062506	3.101308e-08	21.1238	1.854565	0.024889	3.023093e-08	21.1215	1.859892	0.025274	2.854571e-08	21.1163	1.852401	0.049797	3.094541e-08	21.1236	1.858799	0.047186	2.888319e-08	21.1174	Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	No	No	No	No	Yes
3	A3	fc36738a-7ba7-483e-84f0-7ff4c64bed26	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042499	0.002360	0.027797	0.013999999999999999	0.014	9	27	4	24.5	0.006649	1.851277	0.999809	1.860737e-09	25.7091	25.7091	1.849003	0.059290	1.917616e-09	25.7115	1.852198	0.062506	1.838182e-09	25.7081	1.854565	0.024889	1.781555e-09	25.7056	1.859892	0.025274	1.660671e-09	25.7000	1.852401	0.049797	1.833270e-09	25.7079	1.858799	0.047186	1.684753e-09	25.7012	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	fc36738a-7ba7-483e-84f0-7ff4c64bed26	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.042892	0.002360	0.027797	0.013999999999999999	0.014	9	27	4	24.5	0.006534	1.907493	0.999774	8.786861e-10	25.6800	25.6800	1.849003	0.059290	1.884537e-09	25.7398	1.852198	0.062506	1.806474e-09	25.7363	1.854565	0.024889	1.750823e-09	25.7338	1.859892	0.025274	1.632025e-09	25.7281	1.852401	0.049797	1.801647e-09	25.7361	1.858799	0.047186	1.655692e-09	25.7292	Yes	No	No	Yes	No	Yes	No	No	No	No	No	No	No	Yes
5	A5	3d78886e-4b26-4d35-9544-7148b9ac1604	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.041622	0.002360	0.027797	0.013999999999999999	0.014	7	27	4	25.5	0.009320	1.817280	0.999168	2.260255e-09	26.1812	26.1812	1.849003	0.059290	1.453805e-09	26.1620	1.852198	0.062506	1.391180e-09	26.1601	1.854565	0.024889	1.346602e-09	26.1588	1.859892	0.025274	1.251637e-09	26.1557	1.852401	0.049797	1.387311e-09	26.1600	1.858799	0.047186	1.270534e-09	26.1564	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	3d78886e-4b26-4d35-9544-7148b9ac1604	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.043627	0.002360	0.027797	0.013999999999999999	0.014	6	27	4	25.5	0.008446	1.951054	0.993145	3.347921e-10	26.2561	26.2561	1.849003	0.059290	1.317449e-09	26.3222	1.852198	0.062506	1.260698e-09	26.3199	1.854565	0.024889	1.220301e-09	26.3182	1.859892	0.025274	1.134242e-09	26.3145	1.852401	0.049797	1.257192e-09	26.3198	1.858799	0.047186	1.151367e-09	26.3152	Yes	No	No	Yes	No	Yes	Yes	No	No	No	No	No	No	Yes
7	A7	e0d5cb3b-88be-429a-a5dd-64b02778a2ad	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.041194	0.002360	0.027797	0.013999999999999999	0.014	8	27	4	25.5	0.008980	1.893299	0.999664	7.659117e-10	26.1957	26.1957	1.849003	0.059290	1.400747e-09	26.2225	1.852198	0.062506	1.340407e-09	26.2205	1.854565	0.024889	1.297456e-09	26.2190	1.859892	0.025274	1.205957e-09	26.2157	1.852401	0.049797	1.336680e-09	26.2203	1.858799	0.047186	1.224164e-09	26.2163	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	e0d5cb3b-88be-429a-a5dd-64b02778a2ad	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.039744	0.002360	0.027797	0.013999999999999999	0.014	8	27	4	25.5	0.009032	1.886259	0.999871	8.471795e-10	26.1906	26.1906	1.849003	0.059290	1.408962e-09	26.2130	1.852198	0.062506	1.348268e-09	26.2110	1.854565	0.024889	1.305065e-09	26.2095	1.859892	0.025274	1.213029e-09	26.2062	1.852401	0.049797	1.344519e-09	26.2109	1.858799	0.047186	1.231343e-09	26.2069	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	44ab16a8-af73-407f-838f-61c56a2f6bf6	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.039894	0.002360	0.027797	0.013999999999999999	0.014	8	26	4	24.5	0.009299	1.878676	0.999346	1.815775e-09	25.1489	25.1489	1.849003	0.059290	2.682036e-09	25.1657	1.852198	0.062506	2.570938e-09	25.1638	1.854565	0.024889	2.491737e-09	25.1624	1.859892	0.025274	2.322666e-09	25.1594	1.852401	0.049797	2.564068e-09	25.1637	1.858799	0.047186	2.356348e-09	25.1600	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	44ab16a8-af73-407f-838f-61c56a2f6bf6	unkn	cDNA	SYBR Green I@TOX	non-saturating DNA binding dye			0.041865	0.002360	0.027797	0.013999999999999999	0.014	10	26	4	24.5	0.009424	1.816051	0.999162	4.222784e-09	25.1633	25.1633	1.849003	0.059290	2.718100e-09	25.1439	1.852198	0.062506	2.605508e-09	25.1421	1.854565	0.024889	2.525242e-09	25.1408	1.859892	0.025274	2.353897e-09	25.1378	1.852401	0.049797	2.598546e-09	25.1420	1.858799	0.047186	2.388032e-09	25.1385	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
