id	well	sample	sample type	sample nucleotide	target	target chemistry	excluded	note	baseline	lower limit	upper limit	common threshold	group threshold	n in log phase	last log cycle	n included	log lin cycle	log lin fluorescence	indiv PCR eff	R2	N0 (indiv eff - for debug use)	Cq (indiv eff - for debug use)	Cq with group threshold (indiv eff - for debug use)	mean PCR eff	standard error of the mean PCR eff	N0 (mean eff)	Cq (mean eff)	mean PCR eff - no plateau	standard error of the mean PCR eff - no plateau	N0 (mean eff) - no plateau	Cq (mean eff) - no plateau	mean PCR eff - mean efficiency	standard error of the mean PCR eff - mean efficiency	N0 (mean eff) - mean efficiency	Cq (mean eff) - mean efficiency	mean PCR eff - no plateau - mean efficiency	standard error of the mean PCR eff - no plateau - mean efficiency	N0 (mean eff) - no plateau - mean efficiency	Cq (mean eff) - no plateau - mean efficiency	mean PCR eff - stat efficiency	standard error of the mean PCR eff - stat efficiency	N0 (mean eff) - stat efficiency	Cq (mean eff) - stat efficiency	mean PCR eff - no plateau - stat efficiency	standard error of the stat PCR eff - no plateau - stat efficiency	N0 (mean eff) - no plateau - stat efficiency	Cq (mean eff) - no plateau - stat efficiency	amplification	baseline error	instable baseline	plateau	noisy sample	PCR efficiency outside mean rage	PCR efficiency outside mean rage - no plateau	PCR efficiency outlier	PCR efficiency outlier - no plateau	short log lin phase	Cq is shifting	too low Cq eff	too low Cq N0	used for W-o-L setting
1	A1	6b0ee9a0-8c16-459b-a015-232e4648f49a	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.480 < 1.7	0.047825	0.039902	0.189234	0.09450000000000001	0.0945	12	20	4	18.5	0.099884	1.479852	0.999884	7.086981e-05	18.3586	18.3586	1.475821	0.064098	7.453728e-05	18.3576	1.475821	0.064098	7.453728e-05	18.3576	1.481345	0.024798	6.955938e-05	18.3590	1.481345	0.024798	6.955938e-05	18.3590	1.475821	0.064098	7.453728e-05	18.3576	1.475821	0.064098	7.453728e-05	18.3576	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
2	A2	6b0ee9a0-8c16-459b-a015-232e4648f49a	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.476 < 1.7	0.051437	0.039902	0.189234	0.09450000000000001	0.0945	11	19	4	17.5	0.089124	1.475873	0.999922	9.809393e-05	17.6505	17.6505	1.475821	0.064098	9.815378e-05	17.6505	1.475821	0.064098	9.815378e-05	17.6505	1.481345	0.024798	9.194153e-05	17.6490	1.481345	0.024798	9.194153e-05	17.6490	1.475821	0.064098	9.815378e-05	17.6505	1.475821	0.064098	9.815378e-05	17.6505	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
3	A3	906c20d9-4932-45fa-84e2-344d94a5f1b1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.440 < 1.7	0.051681	0.039902	0.189234	0.09450000000000001	0.0945	11	19	5	17.0	0.084665	1.439897	0.999911	1.722144e-04	17.3015	17.3015	1.475821	0.064098	1.132737e-04	17.2824	1.475821	0.064098	1.132737e-04	17.2824	1.481345	0.024798	1.063029e-04	17.2797	1.481345	0.024798	1.063029e-04	17.2797	1.475821	0.064098	1.132737e-04	17.2824	1.475821	0.064098	1.132737e-04	17.2824	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
4	A4	906c20d9-4932-45fa-84e2-344d94a5f1b1	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.475 < 1.7	0.054563	0.039902	0.189234	0.09450000000000001	0.0945	12	20	4	17.5	0.083029	1.475398	0.999934	9.190046e-05	17.8327	17.8327	1.475821	0.064098	9.144088e-05	17.8325	1.475821	0.064098	9.144088e-05	17.8325	1.481345	0.024798	8.565350e-05	17.8293	1.481345	0.024798	8.565350e-05	17.8293	1.475821	0.064098	9.144088e-05	17.8325	1.475821	0.064098	9.144088e-05	17.8325	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
5	A5	e583732b-45a9-4e62-b1d6-a14c31589120	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.483 < 1.7	0.053347	0.039902	0.189234	0.09450000000000001	0.0945	11	20	4	17.5	0.078549	1.482657	0.999963	7.978637e-05	17.9694	17.9694	1.475821	0.064098	8.650688e-05	17.9750	1.475821	0.064098	8.650688e-05	17.9750	1.481345	0.024798	8.103178e-05	17.9705	1.481345	0.024798	8.103178e-05	17.9705	1.475821	0.064098	8.650688e-05	17.9750	1.475821	0.064098	8.650688e-05	17.9750	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
6	A6	e583732b-45a9-4e62-b1d6-a14c31589120	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.481 < 1.7	0.053623	0.039902	0.189234	0.09450000000000001	0.0945	12	20	4	17.5	0.072935	1.481322	0.999987	7.526168e-05	18.1592	18.1592	1.475821	0.064098	8.032453e-05	18.1655	1.475821	0.064098	8.032453e-05	18.1655	1.481345	0.024798	7.524072e-05	18.1592	1.481345	0.024798	7.524072e-05	18.1592	1.475821	0.064098	8.032453e-05	18.1655	1.475821	0.064098	8.032453e-05	18.1655	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
7	A7	95193a1d-8a29-4c5a-8af8-5e18f7901a53	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.447 < 1.7	0.053007	0.039902	0.189234	0.09450000000000001	0.0945	11	20	4	17.5	0.095142	1.446627	0.999880	1.486389e-04	17.4817	17.4817	1.475821	0.064098	1.047813e-04	17.4826	1.475821	0.064098	1.047813e-04	17.4826	1.481345	0.024798	9.814963e-05	17.4828	1.481345	0.024798	9.814963e-05	17.4828	1.475821	0.064098	1.047813e-04	17.4826	1.475821	0.064098	1.047813e-04	17.4826	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
8	A8	95193a1d-8a29-4c5a-8af8-5e18f7901a53	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.439 < 1.7	0.048996	0.039902	0.189234	0.09450000000000001	0.0945	11	19	4	17.5	0.094442	1.438777	0.999951	1.622848e-04	17.5017	17.5017	1.475821	0.064098	1.040096e-04	17.5016	1.475821	0.064098	1.040096e-04	17.5016	1.481345	0.024798	9.742670e-05	17.5016	1.481345	0.024798	9.742670e-05	17.5016	1.475821	0.064098	1.040096e-04	17.5016	1.475821	0.064098	1.040096e-04	17.5016	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
9	A9	b684ffd8-1ff9-442b-85f4-91b5de5c3fce	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.463 < 1.7	0.046436	0.039902	0.189234	0.09450000000000001	0.0945	12	20	4	18.5	0.092179	1.462587	0.999897	8.126071e-05	18.5654	18.5654	1.475821	0.064098	6.878697e-05	18.5639	1.475821	0.064098	6.878697e-05	18.5639	1.481345	0.024798	6.419310e-05	18.5633	1.481345	0.024798	6.419310e-05	18.5633	1.475821	0.064098	6.878697e-05	18.5639	1.475821	0.064098	6.878697e-05	18.5639	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
10	A10	b684ffd8-1ff9-442b-85f4-91b5de5c3fce	unkn	cDNA	SYBR Green I@TELO	non-saturating DNA binding dye		indiv PCR eff is 1.468 < 1.7	0.046115	0.039902	0.189234	0.09450000000000001	0.0945	12	20	4	18.5	0.079935	1.468199	0.999924	6.564666e-05	18.9359	18.9359	1.475821	0.064098	5.965013e-05	18.9301	1.475821	0.064098	5.965013e-05	18.9301	1.481345	0.024798	5.566645e-05	18.9260	1.481345	0.024798	5.566645e-05	18.9260	1.475821	0.064098	5.965013e-05	18.9301	1.475821	0.064098	5.965013e-05	18.9301	Yes	No	No	Yes	No	No	No	No	No	No	No	No	No	Yes
